jg.note	rat.owner	exclude	exclude.reason	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.strain.orig	rat.sex	rat.age	rat.age.orig	rat.weight	rat.weight.orig	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.route	anesthesia.post.induction.time	anesthesia.post.induction.time.orig	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.breathing.rate.orig	anesthesia.heart.rate	anesthesia.heart.rate.orig	anesthesia.temperature.org	anesthesia.pCO2.orig	anesthesia.comment	MRI.vendor	MRI.console.orig	MRI.field.strength	MRI.coil.setup.orig	MRI.coil.design.orig	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution.orig	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor.orig	func.shim.orig	func.shim.order.orig	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.onset	func.sensory.duration	func.sensory.comment
added 04082020	Barbier			01001	100100	1	20160411_110159	11/04/2016	Long Evans	LONG EVANS	Male	NA		250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	90	93.3	510	513	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100101	1	20160412_100530	12/04/2016	Long Evans	LONG EVANS	Male	NA		200-250	240	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	110	105.1	400	401	37.8		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100102	1	20160413_094720	13/04/2016	Long Evans	LONG EVANS	Male	NA		250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	80	76.7	490	487	37.2		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100103	1	20160419_095544	19/04/2016	Long Evans	LONG EVANS	Male	NA		250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	80	80.7	500	500	36.9		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100104	1	20160420_101945	20/04/2016	Long Evans	LONG EVANS	Male	NA		250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	120	119.3	490	485	37.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100105	1	20160421_093700	21/04/2016	Long Evans	LONG EVANS	Male	NA		250-300	284	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	120	119.7	320	319	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100106	1	20160609_141010	09/06/2016	Long Evans	LONG EVANS	Male	NA		300-350	318	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	120	124	290	289	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100107	1	20160610_095040	10/06/2016	Long Evans	LONG EVANS	Male	NA		300-350	326	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	100	97.4	370	373	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100108	1	20160610_132250	10/06/2016	Long Evans	LONG EVANS	Male	NA		250-300	278	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	80	80.9	450	449	37.7		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
added 04082020	Barbier			01001	100109	1	20160610_151330	10/06/2016	Long Evans	LONG EVANS	Male	NA		300-350	306	Charles River			resting-state	isoflurane	5	urethane	1250	NA	60	60	free-breathing	110	112.5	520	524	36.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR						
