Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	jg.note	rat.owner	exclude	exclude.reason	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.strain.orig	rat.sex	rat.age	rat.age.orig	rat.weight	rat.weight.orig	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.route	anesthesia.post.induction.time	anesthesia.post.induction.time.orig	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.breathing.rate.orig	anesthesia.heart.rate	anesthesia.heart.rate.orig	anesthesia.temperature.org	anesthesia.pCO2.orig	anesthesia.comment	MRI.vendor	MRI.console.orig	MRI.field.strength	MRI.coil.setup.orig	MRI.coil.design.orig	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution.orig	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor.orig	func.shim.orig	func.shim.order.orig	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.onset	func.sensory.duration	func.sensory.comment	tsnr.S1	aromas_CPu_CPu	aromas_MOp_MOp	aromas_S1bf_S1bf	aromas_S1bf_ACA	aromas_S1bf_cat	aromal_CPu_CPu	aromal_MOp_MOp	aromal_S1bf_S1bf	aromal_S1bf_ACA	aromal_S1bf_cat	aromasr_CPu_CPu	aromasr_MOp_MOp	aromasr_S1bf_S1bf	aromasr_S1bf_ACA	aromasr_S1bf_cat	WMCSFs_CPu_CPu	WMCSFs_MOp_MOp	WMCSFs_S1bf_S1bf	WMCSFs_S1bf_ACA	WMCSFs_S1bf_cat	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
0	0	0	0	added 04082020	Barbier			1001	100100	1	20160411_110159	11/04/2016	Long Evans	LONG EVANS	Male			250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	90.0	93.3	510.0	513	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							15.14688091	0.4372021254019844	0.1780036681410943	0.5438480410864102	0.115422891275078		0.3500470395595195	0.2867793114984044	0.5148172072588844	0.123341140944869		0.8218765666562157	0.0950541364422062	0.7929929190627404	0.2602152896964909		0.3770308121984558	0.3221766231508617	0.5006904480693446	-0.0616524139931378		0.3344028001988094	0.3194693352447019	0.4729530590648974	-0.0714935259934415	
1	1	1	1	added 04082020	Barbier			1001	100101	1	20160412_100530	12/04/2016	Long Evans	LONG EVANS	Male			200-250	240	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	110.0	105.1	400.0	401	37.8		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							22.701493975	0.5124909603996692	0.0	0.4935844671175874	0.2946648381956154		0.3693137259666554	0.0	0.4135948350434176	0.22272031778409		0.4634004300023131	0.0	0.5131566485261811	0.2518199756130822		0.2244875087601589	0.0	0.240676585354503	0.1094543746752867		0.2249300239252609	0.0	0.2452706060469635	0.1152296223409026	
2	2	2	2	added 04082020	Barbier			1001	100102	1	20160413_094720	13/04/2016	Long Evans	LONG EVANS	Male			250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	76.7	490.0	487	37.2		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							56.853270275	0.1958954347022179	0.0314301945454826	0.1455500221205115	0.5172552595245372		0.2701414701973137	0.0171475354109875	0.0496829872747065	0.3750957889910211		0.2180143537016282	0.0253911461432721	0.0709780559181093	0.4699986624663907		0.1886044155085636	0.008693520245688	0.3727498436059414	0.2357264459487554		0.1593455626638905	0.0095738540427936	0.3701900643755681	0.1830236361044046	
3	3	3	3	added 04082020	Barbier			1001	100103	1	20160419_095544	19/04/2016	Long Evans	LONG EVANS	Male			250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	80.7	500.0	500	36.9		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							40.211160985	0.6728033482529938	0.0	0.6884970562744286	0.3009719933339785		0.434487531313252	0.0	0.5074150843176951	0.1965105329693099		0.6933378763111508	0.0	0.7028432897014627	0.3029771621364804		0.194359556469473	0.0	0.2698418909117414	0.0708716103927303		0.184729114410829	0.0	0.2979345121867967	0.074033924451442	
4	4	4	4	added 04082020	Barbier			1001	100104	1	20160420_101945	20/04/2016	Long Evans	LONG EVANS	Male			250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	119.3	490.0	485	37.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							42.084678235	0.4627702241535817	0.0	-0.0279017860276519	0.1470676808728507		0.2763166555144071	0.0	-0.0403904247957499	0.1041320461476064		0.4009815591499361	0.0	-0.0630176342449184	0.1506611472485314		0.2250442425626987	0.0370341412875919	0.3036219009731215	0.3228044723422482		0.167088577084071	0.0382116880699143	0.2753256641231086	0.2514829660011016	
5	5	5	5	added 04082020	Barbier			1001	100105	1	20160421_093700	21/04/2016	Long Evans	LONG EVANS	Male			250-300	284	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	119.7	320.0	319	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							45.478138425	0.2480807443413318	0.0	0.1203577729071961	0.0046340023458147		0.1903431005881933	0.0	0.0912419228906648	0.0056566132680489		0.2043506570742585	0.0	0.0758287382738727	0.0161566041620635		0.1173727836265648	0.0	0.5663587620292952	-0.0149192875978521		0.1070870596413015	0.0	0.5309151908534729	-0.0028864273242108	
6	6	6	6	added 04082020	Barbier			1001	100106	1	20160609_141010	09/06/2016	Long Evans	LONG EVANS	Male			300-350	318	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	124	290.0	289	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							50.918665195	0.2288807804281958	0.0	0.0576254205879724	0.0676086852619041		0.0658152071379801	0.0	-0.1839699634099818	0.0570381368189668		0.1441101680161466	0.0	0.1162231962080524	0.1015943041852877		0.2245574715352748	0.0	0.2984737576467922	-0.0671602045226787		0.2680630808330947	0.0	0.3294737788643812	-0.0336687058319565	
7	7	7	7	added 04082020	Barbier			1001	100107	1	20160610_095040	10/06/2016	Long Evans	LONG EVANS	Male			300-350	326	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	100.0	97.4	370.0	373	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							57.762042140000005	-0.2975855530133525	0.0	-0.1216938327048653	-0.0001118474030608		-0.1193352280555493	0.0	-0.1660707404696512	-0.000135979034669		-0.3923272509957008	0.0	-0.1558109486244097	-0.000174091377825		0.0973287751583455	0.0	0.2146365743986118	0.0003688789982687		0.0632367270939608	0.0	0.2018936028912459	0.0002129003914265	
8	8	8	8	added 04082020	Barbier			1001	100108	1	20160610_132250	10/06/2016	Long Evans	LONG EVANS	Male			250-300	278	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	80.9	450.0	449	37.7		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							42.12007736	-0.0009087733394892	0.0	0.58314266633825	0.1427316129104215		-0.0025969513989845	0.0	0.3734817975169128	0.0988986354134152		0.102707106162264	0.0	0.6610642639652492	0.1636281574140502		0.2364143276755943	0.0	0.297513350761191	0.0523185201365107		0.2138965013226022	0.0	0.3409971558254713	0.0604710180360581	
9	9	9	9	added 04082020	Barbier			1001	100109	1	20160610_151330	10/06/2016	Long Evans	LONG EVANS	Male			300-350	306	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	110.0	112.5	520.0	524	36.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1.0	0.1	3600.0	0	mapshim	2nd	178571	no	LR							59.891629225	0.2558594200992232	0.0234307781122742	0.0408105719220428	0.5690690751394045		0.1665036096524813	0.0467558783495847	-0.0065364561933155	0.3875642809493844		0.2931519564680362	-0.01447752768504	0.0425062995999152	0.6182711604710397		0.1611353111391592	0.3055773910637299	0.1509881108066326	0.2595411258611151		0.0878583913352014	0.304153195561386	0.0889615225069592	0.1929272681417478	
