jg.note	rat.owner	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.gender	rat.age	rat.weight	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.post.induction.time	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.heart.rate	anesthesia.temperature	anesthesia.pCO2	anesthesia.comment	MRI.vendor	MRI.console	MRI.field.strength	MRI.coil.setup	MRI.coil.design	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor	func.shim	func.shim.order	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.design	func.sebnsory.comment					
added 04082020	Barbier	01001	100100	1	20160411_110159	11/04/2016	LONG EVANS	MALE		274	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	93.3	513	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100101	1	20160412_100530	12/04/2016	LONG EVANS	MALE		240	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	105.1	401	37.8		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100102	1	20160413_094720	13/04/2016	LONG EVANS	MALE		274	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	76.7	487	37.2		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100103	1	20160419_095544	19/04/2016	LONG EVANS	MALE		254	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	80.7	500	36.9		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100104	1	20160420_101945	20/04/2016	LONG EVANS	MALE		254	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	119.3	485	37.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100105	1	20160421_093700	21/04/2016	LONG EVANS	MALE		284	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	119.7	319	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100106	1	20160609_141010	09/06/2016	LONG EVANS	MALE		318	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	124	289	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100107	1	20160610_095040	10/06/2016	LONG EVANS	MALE		326	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	97.4	373	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100108	1	20160610_132250	10/06/2016	LONG EVANS	MALE		278	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	80.9	449	37.7		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
added 04082020	Barbier	01001	100109	1	20160610_151330	10/06/2016	LONG EVANS	MALE		306	Charles River			resting-state	isoflurane	5%	urethane	1,25 g/kg	60	free-breathing	112.5	524	36.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90	0,469x0,469	9	1	0.1	3600	0	mapshim	2nd	178571	no	LR										
