exclude	exclude.reason	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.strain.orig	rat.sex	rat.age	rat.age.orig	rat.weight	rat.weight.orig	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.route	anesthesia.post.induction.time	anesthesia.post.induction.time.orig	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.breathing.rate.orig	anesthesia.heart.rate	anesthesia.heart.rate.orig	anesthesia.temperature.org	anesthesia.pCO2.orig	anesthesia.comment	MRI.vendor	MRI.console.orig	MRI.field.strength	MRI.coil.setup.orig	MRI.coil.design.orig	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution.orig	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor.orig	func.shim.orig	func.shim.order.orig	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.onset	func.sensory.duration	func.sensory.comment	tsnr.S1	tsnr.str	MFW	aromas_CPu_CPu	aromas_MOp_MOp	aromas_S1bf_S1bf	aromas_S1bf_ACA	aromas_S1bf_cat	aromal_CPu_CPu	aromal_MOp_MOp	aromal_S1bf_S1bf	aromal_S1bf_ACA	aromal_S1bf_cat	aromasr_CPu_CPu	aromasr_MOp_MOp	aromasr_S1bf_S1bf	aromasr_S1bf_ACA	aromasr_S1bf_cat	WMCSFs_CPu_CPu	WMCSFs_MOp_MOp	WMCSFs_S1bf_S1bf	WMCSFs_S1bf_ACA	WMCSFs_S1bf_cat	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat	maxFW
		1001	100100	1	20160411_110159	11/04/2016	Long Evans	LONG EVANS	Male			250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	90.0	93.3	510.0	513	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							10.394261658	3.793626316	0.07744379075033152	0.1112650979097828	0.0015955725541774	0.3003806560657736	0.3007222293450548	Unspecific	0.0787502549273552	-0.0127060472072593	0.3540430604884891	0.2840927686307963	Unspecific	0.0888943809065414	-0.0409006092592012	0.2332965744846666	-0.051633751430461	Specific	-0.1068314203229582	-0.0247757936251659	0.3977317932442365	0.036033321859566	Specific	-0.0733536828413181	-0.0010496778548547	0.3201833595366818	-0.0917276303279072	Specific	0.856118430252849
		1001	100101	1	20160412_100530	12/04/2016	Long Evans	LONG EVANS	Male			200-250	240	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	110.0	105.1	400.0	401	37.8		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							20.510508343	7.711736685	0.06169977937509506	0.0261417532206656	0.3505659687284587	0.2601087858146406	0.0119218847763477	Specific	0.0139211161523813	0.3592585767601748	0.2714372952697721	-0.0207173231481245	Specific	-0.111436136935933	0.3393005405017192	0.2015176690038606	0.178192625910739	Unspecific	0.033886537612938	0.3509463983134605	0.4493148307160651	0.0255969659019056	Specific	0.0212264736443565	0.3504583048706247	0.349794900352617	-0.0123581902242513	Specific	0.880078292898068
		1001	100102	1	20160413_094720	13/04/2016	Long Evans	LONG EVANS	Male			250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	76.7	490.0	487	37.2		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							39.1977398	14.849503965	0.0511331828678257	0.5045467646878694	-0.0004154455746181	0.2623590990760591	0.2003956099644916	Unspecific	0.4156076802597295	0.0025956436523573	0.1250419560613838	0.1259036607418595	Unspecific	0.2238167366452526	-0.0123260526414716	0.0752372645782634	-0.1805026035986999	Spurious	0.2227388581950354	0.0505495352107258	0.5076184804307773	0.1886627182686814	Unspecific	0.1755686796729031	0.048837168888696	0.3726029577692935	0.0309375538027908	Specific	0.219581772848403
		1001	100103	1	20160419_095544	19/04/2016	Long Evans	LONG EVANS	Male			250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	80.7	500.0	500	36.9		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							23.01349536	12.078388895	0.038316887761403066	0.7923513445634441	0.8451233583406776	0.6212660799482008	0.4055361090436492	Unspecific	0.8053867156068485	0.8672405399081456	0.5969556049290409	0.2893880806423925	Unspecific	0.28986222349838	0.3455454047526563	0.2870038137343713	0.1914086225822343	Unspecific	0.7023791531549668	0.5953054608716294	0.4053068545223386	-0.0246449945602606	Specific	0.6496090209968364	0.6004257096461713	0.3599058102341396	-0.0924114447192809	Specific	0.525793861699231
		1001	100104	1	20160420_101945	20/04/2016	Long Evans	LONG EVANS	Male			250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	119.3	490.0	485	37.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							28.509925325	11.8790815	0.02157067869616273	-0.0134079183962304	0.3561562592662187	0.0203008170770897	0.1338833154239647	Spurious	-0.0341151311116249	0.3419521757201669	-0.0027839141191068	0.1155174460216092	Spurious	-0.0197589235215379	0.3573939337102718	0.0792142802211488	0.2053633398140515	Spurious	-0.0109979021202733	0.3415484674456986	0.3513390574506711	0.249396694019276	Unspecific	-0.1093154347212288	0.3665020257607249	0.3102249867407038	0.1581597318393477	Unspecific	0.0772860605304534
		1001	100105	1	20160421_093700	21/04/2016	Long Evans	LONG EVANS	Male			250-300	284	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	119.7	320.0	319	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							32.48993535	17.202052535	0.04356111845891525	0.2601813033877121	-0.0436258929151725	0.1551206094575463	0.016907391148252	Specific	0.2382017776916842	-0.1067521369098076	0.0015833098353263	0.0605198040906437	No	0.3773215706057692	-0.0933052803007577	0.2872652652739607	0.3034142188720509	Unspecific	0.3631214523508257	0.2076293441287855	0.2416292306496066	-0.0851632408207996	Specific	0.3147849114835528	0.1896695694030194	0.231235019348655	-0.0897383655504589	Specific	0.165352249773654
		1001	100106	1	20160609_141010	09/06/2016	Long Evans	LONG EVANS	Male			300-350	318	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	124	290.0	289	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							32.528575365	13.07070642	0.02156173294275015	0.1510699751985057	0.0235830910231959	-0.1024417919926131	-0.0093622801696214	Spurious	0.0545348769514565	-0.0152178338202922	-0.2517067996467308	0.0398978742676337	Spurious	-0.1353582382259745	-0.0256962017032351	-0.2772093178836524	-0.1062853154606852	Spurious	0.2707727989190324	-0.0678929224660929	0.4013346753296016	0.0631159573911882	Specific	0.2216537114745011	-0.07127527042773	0.2596727683589146	0.03271726062182	Specific	0.128818366400124
		1001	100107	1	20160610_095040	10/06/2016	Long Evans	LONG EVANS	Male			300-350	326	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	100.0	97.4	370.0	373	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							15.40071454	0.42476327835	0.031618633187685714	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0825636629879246
		1001	100108	1	20160610_132250	10/06/2016	Long Evans	LONG EVANS	Male			250-300	278	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	80.9	450.0	449	37.7		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							11.440276787499998	2.608358148	0.026117725804832487	0.0970967497368132	0.0571430271757201	-0.0985032251435245	0.0445870903456769	No	0.0148774552398733	0.0350179896945397	-0.0543779581763795	0.0082972722943113	No	0.4189220899371089	-0.0964649988419572	0.2025704786556589	0.3044465469638524	Unspecific	0.2102527349378975	0.0260494012453882	-0.0908956809494448	-0.0319539299416017	No	0.1983689204916336	0.0110116840450992	-0.0936976505369305	-0.0313216814597269	No	0.181857597974476
		1001	100109	1	20160610_151330	10/06/2016	Long Evans	LONG EVANS	Male			300-350	306	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	110.0	112.5	520.0	524	36.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							39.41486781	16.734702485	0.05010196386240107	0.5615177153961298	0.0229399485280731	-0.053952289436552	0.1079414300313606	Spurious	0.4071857271204185	0.0459456783341099	-0.0920107406914712	0.0842150409920454	No	0.4932427827412488	0.048099589753867	-0.1482009664172275	0.073143219979621	Spurious	0.1310043929869364	0.0730933624435981	0.0197076520658373	0.1515938629318778	Spurious	0.1182553169193907	0.0735901518832306	-0.0221931523833437	0.1006394472592848	Spurious	0.304554494526431
