Only for use in MultiRat. Name of user, or site acquiring data -Joanes Grandjean User/Site	Field strength, in Tesla -Joanes Grandjean Field	Bruker/Varian/MR solution/other -Joanes Grandjean Vendor	Coil	YYYY-MM-DD OR YYYY-MM-DDThh:mm -Joanes Grandjean Date	Comment	SubjID	SessID	Strain	Sex	Weight	Age	Comment	Induction_time	Bolus_time	Deviation	Shimming_protocol	Shimming_order	Linewidth	Anat_ScanID	Anat_Sequence	Anat_Contrast	Func_ScanID	Func_run	Func_time	Note any deviation from functional protocol (e.g. FOV), or imaging artifacts -Joanes Grandjean Func_deviation	Temperature	Breathing	Heart	Other	Comment
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-29	-	sub-300100	ses-1	Long Evans	Female	318	10.4	-	9:42	9:49	-	MAPSHIM	AllShims		2	TurboRARE	T2w	13	1	40	12	35.8 / 36.1 / 36.2	96 / 102 / 102			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-29	-	sub-300101	ses-1	Long Evans	Female	383	10.4	-	11:02	11:09	-	MAPSHIM	AllShims		4	TurboRARE	T2w	7	1	40	12	36.3 / 36.3 / 36.3	108 / 108 / 118			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-29	-	sub-300102	ses-1	Long Evans	Female	279	2.9	-	13:15	13:22	-	MAPSHIM	AllShims		5	TurboRARE	T2w	11	1	40	12	36.9 / 37.1 / 37.2	66 / 71 / 74 			Performed 2 functional runs (at T40 and T58.5) because breathing rate, despite stable, was lower than expected at the beginning of functional acquisition, even though animal preparation and timings were strictly the same for all animals. So it was just to try to make sure there would be enough data to use from these animals.
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-29	-	sub-300103	ses-1	Long Evans	Female	337	2.9	-	14:48	14:56	-	MAPSHIM	AllShims		4	TurboRARE	T2w	9	1	40	12	36.9 / 36.8 / 36.8	64 / 69 / 75			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-29	-	sub-300104	ses-1	Long Evans	Female	287	2.9	-	16:04	16:12	-	MAPSHIM	AllShims		9	TurboRARE	T2w	12	1	40	13	36.6 / 36.6 / 36.6	50 / 58 / 60			Performed 2 functional runs (at T40 and T60) because breathing rate, despite stable, was lower than expected at the beginning of functional acquisition, even though animal preparation and timings were strictly the same for all animals. So it was just to try to make sure there would be enough data to use from these animals.
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-30	-	sub-300105	ses-1	Long Evans	Female	311	3	-	9:15	9:23	-	MAPSHIM	AllShims		4	TurboRARE	T2w	6	1	40	12	36.2 / 36.4 / 36.5	87 / 94 / 97			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-30	-	sub-300106	ses-1	Long Evans	Female	407	4.5	-	10:31	10:38	-	MAPSHIM	AllShims		3	TurboRARE	T2w	11	1	40	12	37.0 / 36.9 / 36.9	112 / 120 / 124			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-30	-	sub-300107	ses-1	Long Evans	Female	350	4.5	-	12:50	12:58	-	MAPSHIM	AllShims		6	TurboRARE	T2w	9	1	40	12	36.7 / 36.6 / 36.5	90 / 99 / 106			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-30	-	sub-300108	ses-1	Long Evans	Male	493	3	-	14:11	14:19	-	MAPSHIM	AllShims		4	TurboRARE	T2w	10	1	40	12	34.9 / 35.3 / 35.5	102 / 105 / 108			-
Shemesh/Lisbon	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	2021-09-30	-	sub-300109	ses-1	Long Evans	Male	517	3	-	15:31	15:38	-	MAPSHIM	AllShims		6	TurboRARE	T2w	10	1	40	12	35.7 / 35.8 / 36.0	114 / 97 / 100			-
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-05		sub-300200	ses-1	Wistar	Male	332.7	2		10:26	10:31		MAPSHIM	1st, 2nd	13.2	8	turboRARE	T2w	11		44		37.3/37.5/37.7	70/75/76			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-06		sub-300201	ses-1	Wistar	Male	325	2		9:21	9:30		MAPSHIM	1st, 2nd	16.1	6	turboRARE	T2w	8		40		36.6/36.8/36.8	65/67/68			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-06		sub-300202	ses-1	Wistar	Male	297.8	2		10:36	10:46		MAPSHIM	1st, 2nd	13.2	6	turboRARE	T2w	8		40		36.2/36.5/36.6	61/63/66			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-06		sub-300203	ses-1	Wistar	Male	319.5	2		14:17	14:28		MAPSHIM	1st, 2nd	19.1	6	turboRARE	T2w	8		40		36.1/36.3/36.5	62/67/68			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-06		sub-300204	ses-1	Wistar	Male	354.7	2		16:15	16:26		MAPSHIM	1st, 2nd	13.2	16	turboRARE	T2w	8		42	Reconstruction artifact in the 17th slice	36.3/36.3/36.3	66/68/70			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-07		sub-300205	ses-1	Wistar	Female	216.6	2		8:46	8:56		MAPSHIM	1st, 2nd	20.5	6	turboRARE	T2w	8		40		36.3/36.4/36.8	56/60/61			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-07		sub-300206	ses-1	Wistar	Female	185	2		10:01	10:11		MAPSHIM	1st, 2nd	17.6	6	turboRARE	T2w	8		40		36.6/36.8/37.0	56/55/56			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-07		sub-300207	ses-1	Wistar	Female	203.6	2		11:15	11:24		MAPSHIM	1st, 2nd	19.1	6	turboRARE	T2w	8		40		36.8/36.8/37.0	59/60/60			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-07		sub-300208	ses-1	Wistar	Female	211.6	2		13:42	13:52		MAPSHIM	1st, 2nd	16.1	6	turboRARE	T2w	8		40		36.8/37.1/37.3	62/64/67			
Kuopio	7	Bruker	Bruker quadrature surface coil	2021-10-08		sub-300209	ses-1	Wistar	Female	201.1	2		12:32	12:44		MAPSHIM	1st, 2nd	19.1	12	turboRARE	T2w	8		40		36.3/36.7/36.8	51/55/55			
Donders	7	Clinscan	2x2 phased array	01/09/2021		sub-300301	ses-1	Wistar	Male	366	2	No ear bars	12:37	12:48				57	3	TSE	T2w	6	1	45	T +5 mins	35.5	53			
Donders	7	Clinscan	2x2 phased array	01/09/2021		sub-300302	ses-1	Wistar	Male	319	2		13:58	14:16				59	5	TSE	T2w	9	1	39		35.6	45			
Donders	7	Clinscan	2x2 phased array	01/09/2021		sub-300303	ses-1	Wistar	Male	338	2		15:23	15:48				82	3	TSE	T2w	7	1	40		34.9	42			
Donders	7	Clinscan	2x2 phased array	01/09/2021		sub-300304	ses-1	Wistar	Male	284	2		16:53	17:03				119	3	TSE	T2w	7	1	43		35.2	42			
Donders	7	Clinscan	2x2 phased array	02/09/2021		sub-300305	ses-1	Wistar	Female	264	2		9:37	9:52	4min after bolus to 1%			49	3	TSE	T2w	7	1	41		35.1	40			
Donders	7	Clinscan	2x2 phased array	02/09/2021		sub-300306	ses-1	Wistar	Female	227	2		10:53	11:05				54	3	TSE	T2w	7	1	41		34.8	32			
Donders	7	Clinscan	2x2 phased array	02/09/2021		sub-300307	ses-1	Wistar	Female	217	2		12:08	12:22				41	3	TSE	T2w	9	1	41		35.1	46			
Donders	7	Clinscan	2x2 phased array	02/09/2021		sub-300308	ses-1	Wistar	Female	214	2		13:24	13:37				58	3	TSE	T2w	7	1	41		34.7	52			
Donders	7	Clinscan	2x2 phased array	02/09/2021		sub-300309	ses-1	Wistar	Female	223	2		14:39	14:49				51	3	TSE	T2w	7	1	40		34.9	50			
Muenster	9.4	Bruker	2 cm surface coil	2021-10-04	R-surface / T-volume	sub-300400	ses-1	F344	Female	173	3	vendor: Charles River	8:59	9:10	initiation: 4% ISO in O2; animal positioning under 2% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		12	TurboRARE	T2w	13	1		FOV larger than protocol	36.8/36.8/37.1	66/67/72			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-04	R-surface / T-volume	sub-300401	ses-1	F344	Female	165	3	vendor: Charles River	10:14	10:30	initiation: 4% ISO in O2; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		6	TurboRARE	T2w	10	1		FOV larger than protocol	36.8/37.0/37.3	53/56/56			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-04	R-surface / T-volume	sub-300402	ses-1	F344	Female	157	3	vendor: Charles River	11:37	11:52	initiation: 4% ISO in 100 ml/min O2 and 500 ml/min air; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		9	TurboRARE	T2w	12	1		FOV larger than protocol	36.9/36.8/37.1	57/57/59			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-04	R-surface / T-volume	sub-300403	ses-1	F344	Female	162	3	vendor: Charles River	12:56	13:12	initiation: 4% ISO in 100 ml/min O2 and 500 ml/min air; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		5	TurboRARE	T2w	9	1		FOV larger than protocol	37.2/37.0/36.8	60/59/59			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-04	R-surface / T-volume	sub-300404	ses-1	F344	Female	159	3	vendor: Charles River	14:07	14:19	initiation: 4% ISO in 100 ml/min O2 and 500 ml/min air; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		5	TurboRARE	T2w	9	1		FOV larger than protocol	36.9/37.1/37.4	35/36/37			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-05	R-surface / T-volume	sub-300405	ses-1	F344	Female	168	3	vendor: Charles River	8:46	9:00	initiation: 4% ISO in O2; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		8	TurboRARE	T2w	12	1		FOV larger than protocol	36.8/36.8/37.4	61/53/60			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-05	R-surface / T-volume	sub-300406	ses-1	F344	Female	154	3	vendor: Charles River	10:04	10:18	initiation: 4% ISO in O2; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		4	TurboRARE	T2w	8	1		FOV larger than protocol	36.7/36.8/37.5	56/56/61			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-05	R-surface / T-volume	sub-300407	ses-1	F344	Female	162	3	vendor: Charles River	11:24	11:39	initiation: 4% ISO in O2; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		8	TurboRARE	T2w	12	1		FOV larger than protocol	36.8/37.0/na	31/34/na			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-12	R-surface / T-volume	sub-300408	ses-1	F344	Female	165	3	vendor: Charles River	8:52	9:04	initiation: 4% ISO in O2; animal positioning under 2% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		10	TurboRARE	T2w	12	1		FOV larger than protocol	37.0/37.1/37.3	48/48/48			Paravision 5.1
Muenster	9.4	Bruker	2 cm surface coil	2021-10-12	R-surface / T-volume	sub-300409	ses-1	F344	Female	166	3	vendor: Charles River	10:30	10:48	initiation: 4% ISO in O2; animal positioning under 1.5% ISO, scanning under med + 0.4% Iso, both with 100 ml/min O2, 500 ml/min air	MAPSHIM	2nd		7	TurboRARE	T2w	13	1		FOV larger than protocol	36.8/36.8/37.2	48/49/53			Paravision 5.1
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/26/2021		sub-300500	ses-1	Wistar	Female	215			15:38	15:45		MapShim	3rd		E12	turboRARE	T2w	E15				36.4	38			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/27/2021		sub-300501	ses-1	Wistar	Male	265			9:15	9:22		MapShim	3rd		E7	turboRARE	T2w	E14				36.8	68			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/27/2021		sub-300502	ses-1	Wistar	Male	270			10:35	10:42		MapShim	3rd		E8	turboRARE	T2w	E12				36.8	68			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/27/2021		sub-300503	ses-1	Wistar	Male	270			11:55	12:01		MapShim	3rd		E6	turboRARE	T2w	E10				36.8	70			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/27/2021		sub-300504	ses-1	Wistar	Male	255			13:25	13:31		MapShim	3rd		E6	turboRARE	T2w	E10				37	63			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/27/2021		sub-300505	ses-1	Wistar	Male	260			14:35	14:42		MapShim	3rd	62	E8	turboRARE	T2w	E11				36.9	72			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/28/2021		sub-300506	ses-1	Wistar	Female	215			10:00	10:10		MapShim	3rd	70	E8	turboRARE	T2w	E14				36.6	46			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/28/2021		sub-300507	ses-1	Wistar	Female	230			11:21	11:29		MapShim	3rd	40	E8	turboRARE	T2w	E12				37	44			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/28/2021		sub-300508	ses-1	Wistar	Female	235			13:05	13:12		MapShim	3rd	70	E14	turboRARE	T2w	E13				36	38			
Luisa Ciobanu/Neurospin	17.2	Bruker	surface TX/RX	10/26/2021		sub-300509	ses-1	Wistar	Female	220			14:20	14:30		MapShim	3rd		E9	turboRARE	T2w	E12				36.4	38			
CIBM	14	Agilent/Bruker	Q surf	28/10/2021		sub-300600	ses-1	Wistar	Female	216			9:22	9:57		Map shim			E9	TurboRare	T2w	E12	1			37.7	63			
CIBM	14	Agilent/Bruker	Q surf	28/10/2021		sub-300601	ses-1	Wistar	Female	214			11:06	11:26		Map shim			E4	TurboRare	T2w	E7	1			37.8	55			
CIBM	14	Agilent/Bruker	Q surf	28/10/2021		sub-300602	ses-1	Wistar	Male	281			12:33	12:52		Map shim			E3	TurboRare	T2w	E5	1			37.8	42			
CIBM	14	Agilent/Bruker	Q surf	28/10/2021		sub-300603	ses-1	Wistar	Female	240			15:18	15:36		Map shim			E3	TurboRare	T2w	E6	1			37.7	70			
CIBM	14	Agilent/Bruker	Q surf	28/10/2021		sub-300604	ses-1	Wistar	Female	231			16:39	16:54		Map shim			E4	TurboRare	T2w	E7	1			37.9	56			
CIBM	14	Agilent/Bruker	Q surf	11/04/2021		sub-300605	ses-1	Wistar	Female	231			10:55	11:19		Map shim			E3	TurboRare	T2w	E6	1			37.7	45			
CIBM	14	Agilent/Bruker	Q surf	11/04/2021		sub-300606	ses-1	Wistar	Male	323			12:24	12:44		Map shim			E4	TurboRare	T2w	E7	1			37.7	53			
CIBM	14	Agilent/Bruker	Q surf	11/11/2021		sub-300607	ses-1	Wistar	Male	336			9:28	9:50		Map shim			E3	TurboRare	T2w	E7	1			37.3	60			
CIBM	14	Agilent/Bruker	Q surf	11/11/2021		sub-300608	ses-1	Wistar	Male	358			10:58	11:11		Map shim			E3	TurboRare	T2w	E6	1			37.5	50			
CIBM	14	Agilent/Bruker	Q surf	11/11/2021		sub-300609	ses-1	Wistar	Male	348			12:15	12:32		Map shim			E3	TurboRare	T2w	E6	1			37.9	65			
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver (RF RES 400H 112/086 QSN TO AD / RF ARR 400 1H R.BR LIN RO AD)	11.10.2021		sub-300700	ses-1	Wistar	Male	328	2		10:10:00 AM	10:21:00 AM		Mapshim	4th order	25.4	e5	T2 TurboRare	T2w	e6					53/58/56	466/477/480		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	11.10.2021		sub-300701	ses-1	Wistar	Male	300	2		11:56:00 AM	12:10:00 PM		Mapshim	4th order	52.8	e5	T2 TurboRare	T2w	e8				36/36.2/36.4	71/71/75	268/281/295		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	21.10.2021		sub-300702	ses-1	Wistar	Male	412	2		10:31:00 AM	10:46:00 AM		Mapshim	4th order	33.3	e6	T2 TurboRare	T2w	e10				36.5/36.7/37.1	79/80/82	283/292/306		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	12.10.2021		sub-300703	ses-1	Wistar	Male	314	2		10:12:00 AM	10:31:00 AM		Mapshim	4th order	31	e9	T2 TurboRare	T2w	e12				35.3/35.6/36.0	59/59/63	250/267/278		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	12.10.2021		sub-300704	ses-1	Wistar	Male	322	2		2:47:00 PM	2:57:00 AM		Mapshim	4th order	37.2	e5	T2 TurboRare	T2w	e7				35.3/35.6/35.9	74/82/81	286/298/310		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	12.10.2021		sub-300705	ses-1	Wistar	Female	232	2		4:10:00 PM	4:20:00 PM		Mapshim	4th order	39.1	e5	T2 TurboRare	T2w	e8				36/36.3/36.7	46/48/46	287/301/312		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	12.10.2021		sub-300706	ses-1	Wistar	Female	202	2		5:34:00 PM	5:45:00 PM		Mapshim	4th order	43	e5	T2 TurboRare	T2w	e8				36.5/36.8/37.1	34/34/35	267/280/286		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	13.10.2021		sub-300707	ses-1	Wistar	Female	204	2		9:43:00 AM	9:54:00 AM		Mapshim	4th order	52.8	e5	T2 TurboRare	T2w	e7				35.9/36.2/36.5	35/30/31	261/301/319		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	13.10.2021		sub-300708	ses-1	Wistar	Female	216	2		11:12:00 AM	11:21:00 AM		Mapshim	4th order	54.8	e6	T2 TurboRare	T2w	e9				35.6/35.8/36.1	42/51/41	270/280/289		
Stenroos/GIN	9.4	Bruker	Volume transmit/surface receiver	13.10.2021		sub-300709	ses-1	Wistar	Female	230	2		12:40:00 PM	12:49:00 PM		Mapshim	4th order	41.1	e5	T2 TurboRare	T2w	e6				36.7/36.8/37.0	56/60/55	312/317/321		
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-19		sub-300800	ses-1	Wistar	Male	334.6	2		9:37	9:53	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 9:44. Iso 2% at 9:48. Iso 0.4% at 10:16. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	Fastmap (rectangular voxel)	1st	22.57		fsems	T2w	rat5005_1_4_03_MR1_rsfMRI.nii.gz	rat5005_1_4_03_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	40	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
UMC Utrecht	9.4	Varian	Helmholtz volume coil (transmission); single loop surface coil (receive)	2021-11-19		sub-300801	ses-1	Wistar	Male	305.6	2		12:09	12:30	Fixation by the ears had to be done under 3% iso, as the animal otherwise woke up. Iso to 3% at 12:15. Iso to 2% 12:25. Iso 0.4% at 12:50. Dexmedetomidine (bolus 0.025mg/kg, infusion 0.05mg/kg/h).	Fastmap (rectangular voxel)	1st	22.86		fsems	T2w	rat5005_1_4_04_MR1_rsfMRI.nii.gz	rat5005_1_4_04_MR1_rsfMRI_reverse.nii.gz (50 images with reverse phase encoding)	42	Slices around ear cavities largely distorted. We should maybe have chosen the reverse phase direction. TR=1s					
