exclude	exclude_reason	DatasetID	Field_strength	Vendor	Coil	Date	Comment	SubjID	SessID	Strain	Sex	Weight	Age	Comment.1	Induction_time	Bolus_time	Deviation	Shimming_protocol	Shimming_order	Linewidth	Anat_ScanID	Anat_Sequence	Anat_Contrast	Func_ScanID	Func_run	Func_time	Note any deviation from functional protocol (e.g. FOV), or imaging artifacts -Joanes Grandjean Func_deviation	Temperature	Breathing	Heart	Other	Comment.2	Breathing_onset	Temperature_onset	MFW	maxFW	tsnr.S1	tsnr.str	aromas_CPu_CPu	aromas_MOp_MOp	aromas_S1bf_S1bf	aromas_S1bf_ACA	aromas_S1bf_cat	aromal_CPu_CPu	aromal_MOp_MOp	aromal_S1bf_S1bf	aromal_S1bf_ACA	aromal_S1bf_cat	aromasr_CPu_CPu	aromasr_MOp_MOp	aromasr_S1bf_S1bf	aromasr_S1bf_ACA	aromasr_S1bf_cat	WMCSFs_CPu_CPu	WMCSFs_MOp_MOp	WMCSFs_S1bf_S1bf	WMCSFs_S1bf_ACA	WMCSFs_S1bf_cat	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300100	ses-1	Long Evans	Female	318.0	10.4	-	9:42	9:49	-	MAPSHIM	AllShims		2	TurboRARE	T2w	13	1	40	12	35.8/36.1/36.2	96/102/102			-	96.0	35.8	0.017064377310970272	0.0369236062665392	66.89265762	33.005350415	0.5321182751844615	0.5164012202466994	0.5859848778514509	0.3444314766519851	Unspecific	0.4959803551108713	0.4587646512512464	0.5479899803616081	0.2638128177930251	Unspecific	0.5321182751844615	0.5164012202466994	0.5859848778514509	0.3444314766519851	Unspecific	0.5642957345567415	0.4959360893049961	0.5236081863396426	0.0812924843838635	Specific	0.5659538821486626	0.4942252470801436	0.4723811796174349	-0.0419082887119842	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300101	ses-1	Long Evans	Female	383.0	10.4	-	11:02	11:09	-	MAPSHIM	AllShims		4	TurboRARE	T2w	7	1	40	12	36.3/36.3/36.3	108/108/118			-	108.0	36.3	0.009748679209329193	0.0222605941773132	60.755711590000004	32.663869745	0.4470814203993382	0.3755408603032845	0.301902729660306	0.0725660602898108	Specific	0.426231354923327	0.3118904577246245	0.2911516058003833	5.044547393613189e-05	Specific	0.4470814203993382	0.3755408603032845	0.301902729660306	0.0725660602898108	Specific	0.4741671364815438	0.4411826463894371	0.4353592233670635	0.0240401857500325	Specific	0.4677476673947336	0.4667942325929132	0.4207779496677918	-0.0748193624132819	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300102	ses-1	Long Evans	Female	279.0	2.9	-	13:15	13:22	-	MAPSHIM	AllShims		5	TurboRARE	T2w	11	1	40	12	36.9/37.1/37.2	66/71/74			Performed 2 functional runs (at T40 and T58.5) because breathing rate, despite stable, was lower than expected at the beginning of functional acquisition, even though animal preparation and timings were strictly the same for all animals. So it was just to try to make sure there would be enough data to use from these animals.	66.0	36.9	0.009277980403224305	0.0240319341969819	69.40996871	34.3259717	0.4816909828530111	0.6121012349352879	0.4378355315153798	-0.1347728104406116	Specific	0.4684901162732799	0.5631594948619897	0.4053082803291006	-0.1326060179780615	Specific	0.4816909828530111	0.6121012349352879	0.4378355315153798	-0.1347728104406116	Specific	0.4721826695308405	0.6684773898247294	0.4298347270554843	0.0117020389906578	Specific	0.4952643848258586	0.6622767315607092	0.3624703547563566	-0.0899271650403693	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300103	ses-1	Long Evans	Female	337.0	2.9	-	14:48	14:56	-	MAPSHIM	AllShims		4	TurboRARE	T2w	9	1	40	12	36.9/36.8/36.8	64/69/75			-	64.0	36.9	0.008557443509263898	0.022265106834655	68.70998448	31.03615153	0.2366877329515251	0.4035914751942653	0.3168171369396345	-0.2478732079350038	Specific	0.2387964324634621	0.3817135478000881	0.326732988556224	-0.1799120584054468	Specific	0.2366877329515251	0.4035914751942653	0.3168171369396345	-0.2478732079350038	Specific	0.2675595272148788	0.5985376787297325	0.3694137008190171	-0.0325149879888333	Specific	0.2684529574372939	0.5868251659723236	0.3034285823132088	-0.1376167783468449	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300104	ses-1	Long Evans	Female	287.0	2.9	-	16:04	16:12	-	MAPSHIM	AllShims		9	TurboRARE	T2w	12	1	40	13	36.6/36.6/36.6	50/58/60			Performed 2 functional runs (at T40 and T60) because breathing rate, despite stable, was lower than expected at the beginning of functional acquisition, even though animal preparation and timings were strictly the same for all animals. So it was just to try to make sure there would be enough data to use from these animals.	50.0	36.6	0.010822555551569633	0.0310492673475262	59.76608691	28.177344085	0.2240005467438202	0.2365569693438524	0.2544122333490277	0.1833285209632363	Unspecific	0.1901629257424276	0.2134577493210152	0.2399065220595084	0.1773157257672327	Unspecific	0.2240005467438202	0.2365569693438524	0.2544122333490277	0.1833285209632363	Unspecific	0.1330867065995025	0.1532387914883303	0.2805450123268639	0.0148593579847682	Specific	0.129967359831608	0.1352857593318287	0.248052082074443	-0.0760177488237251	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300105	ses-1	Long Evans	Female	311.0	3.0	-	9:15	9:23	-	MAPSHIM	AllShims		4	TurboRARE	T2w	6	1	40	12	36.2/36.4/36.5	87/94/97			-	87.0	36.2	0.012923644040470542	0.0469267125318636	46.38400616	25.00609623	0.2842934468900027	0.3979931832121575	0.4358348545356491	-0.495239034323189	Specific	0.3187862727908524	0.3968677332674241	0.4470713357100228	-0.350299687907307	Specific	0.2842934468900027	0.3979931832121575	0.4358348545356491	-0.495239034323189	Specific	0.2543299285344196	0.3693351828998101	0.4630909292467414	-0.2948718754267828	Specific	0.2502927909932089	0.3887486007599888	0.4353389673249939	-0.4229713992982238	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300106	ses-1	Long Evans	Female	407.0	4.5	-	10:31	10:38	-	MAPSHIM	AllShims		3	TurboRARE	T2w	11	1	40	12	37.0/36.9/36.9	112/120/124			-	112.0	37.0	0.009561529824854424	0.0294199102679002	43.739206905	26.97867496	0.1630606366393971	0.4766276074544108	0.4811652812233192	0.1989551751306118	Unspecific	0.1975584309069862	0.3792696094875334	0.4537796738548887	0.1647979300240946	Unspecific	0.1630606366393971	0.4766276074544108	0.4811652812233192	0.1989551751306118	Unspecific	0.1861437991352987	0.4747337554697486	0.5157789895082272	0.1021965754562042	Unspecific	0.1827148698898196	0.4982308183153425	0.4587392449023981	-0.0697861038034007	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300107	ses-1	Long Evans	Female	350.0	4.5	-	12:50	12:58	-	MAPSHIM	AllShims		6	TurboRARE	T2w	9	1	40	12	36.7/36.6/36.5	90/99/106			-	90.0	36.7	0.013313156212559654	0.0346885372456123	65.880733155	38.34366098	0.3394825428085463	0.4198957928937726	0.3570441737754318	-0.2028584498037076	Specific	0.2753798991147181	0.3812470819733189	0.360721493500268	-0.1581165192415419	Specific	0.3394825428085463	0.4198957928937726	0.3570441737754318	-0.2028584498037076	Specific	0.3448049024404437	0.492379150006996	0.595318331025752	0.0337590382316326	Specific	0.3474860467233707	0.4812048718611019	0.5479493584036796	-0.0981246685969052	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300108	ses-1	Long Evans	Male	493.0	3.0	-	14:11	14:19	-	MAPSHIM	AllShims		4	TurboRARE	T2w	10	1	40	12	34.9/35.3/35.5	102/105/108			-	102.0	34.9	0.010662009949501202	0.197433062708198	66.36638018000001	32.81478778	0.3538768848617937	0.5413473697124881	0.3692996563049423	0.0628106589509367	Specific	0.4008210742857436	0.4991614088324239	0.3150592265961175	0.0531578856350029	Specific	0.3212186721167733	0.4769479528815395	0.3422070764260436	0.0655461080552658	Specific	0.3369935878964221	0.4860272260846897	0.383797396226355	0.0516396654475295	Specific	0.3030033339218275	0.4149705305072114	0.3455204009654193	-0.0259599048591111	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300109	ses-1	Long Evans	Male	517.0	3.0	-	15:31	15:38	-	MAPSHIM	AllShims		6	TurboRARE	T2w	10	1	40	12	35.7/35.8/36.0	114/97/100			-	114.0	35.7	0.017028088017003545	0.181964968838007	55.950389965	29.544983245	0.5220822555525864	0.5524771512789791	0.5173013803586222	-0.0885147749530054	Specific	0.5282770982190406	0.5041352285013597	0.4301306999634999	-0.0725117617130821	Specific	0.4942996284545018	0.5113489590473324	0.4510838585391402	0.019881221706295	Specific	0.5213321708057335	0.5765196861925439	0.509460624289924	-0.1000491252710173	Specific	0.4922695685166512	0.5261559465751662	0.4401645721193304	-0.2174254377301782	Specific
